ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600511.SH,20250620,28.77,29.05,28.67,28.99,28.75,0.24,0.8348,35874.94,103836.761
600511.SH,20250619,28.78,28.91,28.58,28.75,28.8,-0.05,-0.1736,26661.41,76572.952
600511.SH,20250618,28.86,28.92,28.65,28.8,28.86,-0.06,-0.2079,37493.91,107951.27
600511.SH,20250617,29.84,29.96,29.46,29.66,29.77,-0.11,-0.3695,56249.16,166574.735
600511.SH,20250616,30.46,30.5,29.71,29.77,30.34,-0.57,-1.8787,68388.42,204726.229
600511.SH,20250613,30.85,30.92,30.34,30.34,30.86,-0.52,-1.685,63121.11,193306.213
600511.SH,20250612,30.65,31.0,30.6,30.86,30.65,0.21,0.6852,42666.3,131497.029
600511.SH,20250611,31.06,31.2,30.6,30.65,31.11,-0.46,-1.4786,54130.21,166705.915
600511.SH,20250610,31.42,31.55,30.86,31.11,31.21,-0.1,-0.3204,46750.4,145971.671
600511.SH,20250609,30.48,31.49,30.48,31.21,30.51,0.7,2.2943,70253.6,218697.497
600511.SH,20250606,30.51,30.64,30.44,30.51,30.57,-0.06,-0.1963,17157.0,52388.656
600511.SH,20250605,30.82,30.94,30.44,30.57,30.82,-0.25,-0.8112,24524.84,75078.471
600511.SH,20250604,30.65,30.89,30.56,30.82,30.75,0.07,0.2276,27984.96,85977.798
600511.SH,20250603,30.05,30.82,30.0,30.75,30.01,0.74,2.4658,53535.31,164069.255
600511.SH,20250530,30.15,30.3,29.98,30.01,30.05,-0.04,-0.1331,27705.16,83492.106
600511.SH,20250529,30.0,30.09,29.83,30.05,30.06,-0.01,-0.0333,21931.0,65789.183
600511.SH,20250528,29.7,30.38,29.63,30.06,29.77,0.29,0.9741,44929.0,134953.897
600511.SH,20250527,29.83,30.04,29.66,29.77,29.86,-0.09,-0.3014,34290.57,102201.424
600511.SH,20250526,30.6,30.75,29.84,29.86,30.7,-0.84,-2.7362,46714.83,140781.907
600511.SH,20250523,30.49,30.98,30.46,30.7,30.5,0.2,0.6557,45375.41,139789.35
600511.SH,20250522,30.68,30.78,30.21,30.5,30.79,-0.29,-0.9419,35890.36,109454.027
600511.SH,20250521,30.35,30.87,30.29,30.79,30.37,0.42,1.3829,52953.27,162686.751
600511.SH,20250520,29.95,30.47,29.85,30.37,29.87,0.5,1.6739,53610.5,162173.371
600511.SH,20250519,30.0,30.08,29.76,29.87,29.97,-0.1,-0.3337,24386.05,72899.177
600511.SH,20250516,29.93,30.04,29.85,29.97,29.92,0.05,0.1671,23976.05,71790.063
600511.SH,20250515,29.97,30.12,29.86,29.92,29.93,-0.01,-0.0334,28219.46,84620.799
600511.SH,20250514,29.76,29.96,29.55,29.93,29.78,0.15,0.5037,39169.0,116564.133
600511.SH,20250513,29.8,29.86,29.71,29.78,29.72,0.06,0.2019,28163.14,83863.001
600511.SH,20250512,29.8,29.95,29.58,29.72,29.78,-0.06,-0.2015,24933.17,74000.928
600511.SH,20250509,29.46,29.84,29.4,29.78,29.47,0.31,1.0519,48134.0,143120.223
600511.SH,20250508,29.64,29.75,29.25,29.47,29.74,-0.27,-0.9079,43095.25,127130.807
600511.SH,20250507,29.74,29.8,29.5,29.74,29.55,0.19,0.643,42001.0,124535.869
600511.SH,20250506,29.02,29.76,28.96,29.55,28.99,0.56,1.9317,54280.14,159668.143
600511.SH,20250430,28.97,29.08,28.88,28.99,28.96,0.03,0.1036,20494.13,59434.341
600511.SH,20250429,28.88,29.04,28.72,28.96,28.89,0.07,0.2423,21315.6,61651.093
600511.SH,20250428,29.45,29.45,28.75,28.89,29.38,-0.49,-1.6678,42669.69,123884.334
600511.SH,20250425,29.4,29.72,29.25,29.38,29.38,0.0,0.0,32539.13,95722.915
600511.SH,20250424,29.46,29.58,29.22,29.38,29.46,-0.08,-0.2716,23786.01,70018.425
600511.SH,20250423,29.59,29.69,29.38,29.46,29.59,-0.13,-0.4393,26038.0,76743.735
600511.SH,20250422,29.39,29.63,29.3,29.59,29.44,0.15,0.5095,19662.0,58091.269
600511.SH,20250421,29.23,29.69,29.1,29.44,29.24,0.2,0.684,35670.01,105098.238
600511.SH,20250418,29.19,29.33,29.09,29.24,29.19,0.05,0.1713,15008.45,43848.992
600511.SH,20250417,29.24,29.41,29.11,29.19,29.28,-0.09,-0.3074,24452.45,71468.369
600511.SH,20250416,29.3,29.36,29.01,29.28,29.4,-0.12,-0.4082,27024.0,78888.081
600511.SH,20250415,29.46,29.55,29.19,29.4,29.46,-0.06,-0.2037,28964.0,85048.408
600511.SH,20250414,29.49,29.54,29.3,29.46,29.43,0.03,0.1019,36517.0,107479.898
600511.SH,20250411,29.5,29.75,29.36,29.43,29.64,-0.21,-0.7085,36466.0,107527.11
600511.SH,20250410,29.74,29.93,29.5,29.64,29.67,-0.03,-0.1011,50041.56,148663.296
600511.SH,20250409,29.2,30.1,29.0,29.67,29.6,0.07,0.2365,67662.56,200047.193
600511.SH,20250408,28.69,29.6,28.64,29.6,28.87,0.73,2.5286,70408.2,205873.729
600511.SH,20250407,29.43,29.75,27.57,28.87,30.33,-1.46,-4.8137,116717.77,334856.429
600511.SH,20250403,29.95,30.55,29.9,30.33,30.09,0.24,0.7976,44544.89,134979.918
600511.SH,20250402,30.26,30.29,30.01,30.09,30.3,-0.21,-0.6931,36387.0,109578.716
600511.SH,20250401,29.91,30.6,29.85,30.3,29.82,0.48,1.6097,70819.19,214948.249
600511.SH,20250331,30.03,30.16,29.68,29.82,30.12,-0.3,-0.996,38089.62,113857.761
600511.SH,20250328,30.35,30.6,30.1,30.12,30.32,-0.2,-0.6596,45280.9,137199.37
600511.SH,20250327,30.14,30.37,29.98,30.32,30.15,0.17,0.5638,39432.0,119083.316
600511.SH,20250326,30.24,30.37,30.11,30.15,30.27,-0.12,-0.3964,33043.79,99828.037
600511.SH,20250325,30.21,30.3,30.03,30.27,30.1,0.17,0.5648,34100.67,102919.355
600511.SH,20250324,30.19,30.39,29.95,30.1,30.19,-0.09,-0.2981,39632.33,119184.831
600511.SH,20250321,30.61,30.79,30.14,30.19,30.6,-0.41,-1.3399,51111.66,155149.253
600511.SH,20250320,30.66,30.9,30.1,30.6,31.16,-0.56,-1.7972,93964.62,285618.505
600511.SH,20250319,31.04,31.26,31.0,31.16,31.13,0.03,0.0964,28557.29,88866.156
600511.SH,20250318,31.24,31.39,31.0,31.13,31.21,-0.08,-0.2563,37934.62,118413.868
600511.SH,20250317,31.34,31.45,31.03,31.21,31.16,0.05,0.1605,42179.04,131717.729
600511.SH,20250314,30.18,31.29,30.18,31.16,30.18,0.98,3.2472,88329.76,272395.452
600511.SH,20250313,30.06,30.36,29.96,30.18,30.1,0.08,0.2658,38613.8,116456.433
